original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
44252	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-01	Parts per billion	15.66087	34.6	21	32	Parts per million	0.016875	0.031	10	29	Parts per billion	0.7831170000000001	1.6	10	1.0	Parts per million	0.486836	1.3	1	9.0
44256	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-02	Parts per billion	19.573913	39.4	20	37	Parts per million	0.013625	0.027	9	25	Parts per billion	0.732143	1.4	21	1.0	Parts per million	0.5647645	1.6	21	11.0
44260	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-03	Parts per billion	24.473913	36.9	17	34	Parts per million	0.008042	0.022	9	20	Parts per billion	1.103788	1.5	4	1.0	Parts per million	0.827536	1.5	22	15.0
44264	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-04	Parts per billion	18.491304	31.3	8	29	Parts per million	0.011208	0.024	10	22	Parts per billion	1.137987	3.3	5	4.0	Parts per million	0.6200185	1.2	7	14.0
44268	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-05	Parts per billion	16.965217	27.6	6	25	Parts per million	0.0125	0.023	23	21	Parts per billion	0.9457795	1.7	8	1.0	Parts per million	0.5251815	0.7	5	7.0
44272	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-06	Parts per billion	14.334783	32.0	21	30	Parts per million	0.012333	0.022	0	20	Parts per billion	0.799675	1.7	20	1.0	Parts per million	0.657699	2.3	20	17.0
44276	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-07	Parts per billion	19.378261	26.1	19	25	Parts per million	0.00325	0.009	8	8	Parts per billion	1.1366885	1.8	8	1.0	Parts per million	1.0126815	1.9	7	20.0
44280	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-08	Parts per billion	18.773913	32.9	20	30	Parts per million	0.005833	0.016	10	15	Parts per billion	1.1292205000000002	2.2	5	3.0	Parts per million	0.5686595	1.2	21	9.0
44284	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-09	Parts per billion	15.86087	29.8	9	27	Parts per million	0.017458	0.03	15	28	Parts per billion	1.0623375	2.3	10	3.0	Parts per million	0.571105	1.1	0	10.0
44288	6	95	4	304 TUOLUMNE ST.	California	Solano	Vallejo	2013-01-10	Parts per billion	6.782609	18.2	7	17	Parts per million	0.027208	0.032	9	30	Parts per billion	0.318182	0.5	8	0.0	Parts per million	0.278895	0.4	7	3.0
