original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
45712	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-01	Parts per billion	29.625	43.0	19	41	Parts per million	0.011167	0.029	10	27	Parts per billion	2.4479165	12.0	11	17.0	Parts per million	0.4778505	2.2	23	8.0
45716	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-02	Parts per billion	37.090909	67.0	9	65	Parts per million	0.010583	0.031	10	29	Parts per billion	2.7552795	6.0	0	9.0	Parts per million	0.5184785000000001	1.4	8	9.0
45720	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-03	Parts per billion	37.130435	49.0	20	46	Parts per million	0.008458	0.025	9	23	Parts per billion	4.53882	18.0	10	26.0	Parts per million	0.502536	1.4	19	9.0
45724	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-04	Parts per billion	39.7	52.0	7	49	Parts per million	0.005375	0.016	9	15	Parts per billion	7.553787999999999	30.0	10	43.0	Parts per million	0.788587	2.2	19	16.0
45728	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-05	Parts per billion	33.588235	46.0	2	43	Parts per million	0.011042	0.033	10	31	Parts per billion	2.5666665	10.0	10	14.0	Parts per million	0.6208335	1.5	0	17.0
45732	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-06	Parts per billion	35.478261	45.0	9	42	Parts per million	0.006625	0.019	9	18	Parts per billion	3.6329195	10.0	11	14.0	Parts per million	0.66875	1.3	20	10.0
45736	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-07	Parts per billion	33.533333	49.0	8	46	Parts per million	0.0065	0.019	9	18	Parts per billion	3.69375	6.0	1	9.0	Parts per million	0.7854165	1.4	8	14.0
45740	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-08	Parts per billion	29.117647	56.0	9	53	Parts per million	0.014458	0.036	11	33	Parts per billion	2.6046585	6.0	9	9.0	Parts per million	0.5375000000000001	1.5	23	11.0
45744	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-09	Parts per billion	32.545455	58.0	8	55	Parts per million	0.007542	0.023	9	21	Parts per billion	3.4875	7.0	8	10.0	Parts per million	0.80625	1.7	8	13.0
45748	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-10	Parts per billion	33.0	39.0	8	37	Parts per million	0.00475	0.014	21	13	Parts per billion	3.582298	6.0	20	9.0	Parts per million	0.766667	2.1	21	14.0
45752	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-11	Parts per billion	19.5	46.0	7	43	Parts per million	0.013875	0.024	9	22	Parts per billion	2.5270835	5.0	7	7.0	Parts per million	0.7328805	1.3	7	14.0
45756	8	1	3001	3174 E. 78TH AVE.	Colorado	Adams	Welby	2013-01-12	Parts per billion	11.043478	31.0	23	29	Parts per million	0.016167	0.03	12	28	Parts per billion	1.151242	2.0	1	3.0	Parts per million	0.2395835	0.4	0	5.0
