Date Local	NO2 Mean	NO2 AQI	NO2 1st Max Value	O3 Mean	O3 AQI	O3 1st Max Value	SO2 Mean	SO2 AQI	SO2 1st Max Value	CO Mean	CO AQI	CO 1st Max Value
2013-01-01	21.572101333333332	48.0	51.0	0.020736	35.0	0.041	1.9229770000000002	17.0	12.0	0.374663	10.0	2.2
2013-01-02	25.13043466666667	65.0	67.0	0.020694333333333332	36.0	0.042	1.6504971666666668	9.0	6.0	0.3999095	9.0	1.4
2013-01-03	24.525234333333334	50.0	53.0	0.018055333333333336	32.0	0.038	3.7150233333333333	33.0	23.0	0.38716783333333327	10.0	2.1
2013-01-04	42.545652000000004	71.0	73.0	0.0057915	15.0	0.016	9.583144	66.0	48.0	0.86408525	28.0	3.2
2013-01-05	32.6419435	47.0	50.0	0.0120625	31.0	0.033	3.1947915	36.0	25.0	0.61354175	28.0	2.5
2013-01-06	27.78115933333333	60.0	62.0	0.017291666666666667	35.0	0.041	2.371389833333333	14.0	10.0	0.5618961666666666	15.0	1.8
2013-01-07	25.859500666666662	63.0	65.0	0.017889	36.0	0.043	2.4229683333333334	11.0	8.0	0.6192028333333334	17.0	2.9
2013-01-08	22.808781	54.0	57.0	0.021124666666666667	36.0	0.042	1.6675553333333335	10.0	7.0	0.4447463333333334	15.0	1.5
2013-01-09	24.91949933333333	65.0	67.0	0.016389	35.0	0.041	2.1999999999999997	10.0	7.0	0.6671718333333333	17.0	2.9
2013-01-10	26.783717	65.0	67.0	0.015847	35.0	0.041	2.7633301666666665	11.0	8.0	0.7242485	20.0	3.0
2013-01-11	15.697101666666667	51.0	54.0	0.021500000000000002	36.0	0.043	1.4347223333333332	7.0	5.0	0.5025061666666667	15.0	1.3
2013-01-12	11.310144666666668	33.0	35.0	0.020486333333333332	30.0	0.035	0.47964116666666673	3.0	2.0	0.28541666666666665	8.0	0.7
2013-01-13	14.1043475	44.0	47.0	0.022292	30.0	0.035	0.5465515	10.0	7.0	0.33333325	8.0	0.9
2013-01-14	21.007246333333335	48.0	51.0	0.014597333333333332	29.0	0.034	1.0700828333333334	9.0	6.0	0.41683766666666666	10.0	1.0
2013-01-15	26.518840666666666	47.0	50.0	0.014889	32.0	0.038	4.420893833333333	33.0	23.0	0.4618054999999999	9.0	1.0
2013-01-16	21.175788999999998	45.0	48.0	0.017875000000000002	33.0	0.039	1.6496205	16.0	11.0	0.37184333333333336	8.0	1.1
2013-01-17	24.769565333333336	56.0	59.0	0.01475	31.0	0.036	1.783915666666667	10.0	7.0	0.6240338333333333	15.0	3.1
