Date Local	NO2 Mean	NO2 AQI	NO2 1st Max Value	O3 Mean	O3 AQI	O3 1st Max Value	SO2 Mean	SO2 AQI	SO2 1st Max Value	CO Mean	CO AQI	CO 1st Max Value
2013-01-01	21.57210133333333	48.0	51.0	0.020736	35.0	0.041	1.922977	17.0	12.0	0.374663	10.0	2.2
2013-01-02	25.13043466666667	65.0	67.0	0.0206943333333333	36.0	0.042	1.6504971666666668	9.0	6.0	0.3999095	9.0	1.4
2013-01-03	24.525234333333334	50.0	53.0	0.0180553333333333	32.0	0.038	3.715023333333333	33.0	23.0	0.3871678333333332	10.0	2.1
2013-01-04	42.545652	71.0	73.0	0.0057915	15.0	0.016	9.583144	66.0	48.0	0.86408525	28.0	3.2
2013-01-05	32.6419435	47.0	50.0	0.0120625	31.0	0.033	3.1947915	36.0	25.0	0.61354175	28.0	2.5
2013-01-06	27.78115933333333	60.0	62.0	0.0172916666666666	35.0	0.041	2.371389833333333	14.0	10.0	0.5618961666666666	15.0	1.8
2013-01-07	25.859500666666666	63.0	65.0	0.017889	36.0	0.043	2.4229683333333334	11.0	8.0	0.6192028333333334	17.0	2.9
2013-01-08	22.808781	54.0	57.0	0.0211246666666666	36.0	0.042	1.6675553333333335	10.0	7.0	0.4447463333333334	15.0	1.5
2013-01-09	24.91949933333333	65.0	67.0	0.016389	35.0	0.041	2.2	10.0	7.0	0.6671718333333333	17.0	2.9
2013-01-10	26.783717	65.0	67.0	0.015847	35.0	0.041	2.7633301666666665	11.0	8.0	0.7242485	20.0	3.0
2013-01-11	15.697101666666669	51.0	54.0	0.0215	36.0	0.043	1.4347223333333332	7.0	5.0	0.5025061666666667	15.0	1.3
2013-01-12	11.310144666666668	33.0	35.0	0.0204863333333333	30.0	0.035	0.4796411666666667	3.0	2.0	0.2854166666666666	8.0	0.7
2013-01-13	14.1043475	44.0	47.0	0.022292	30.0	0.035	0.5465515	10.0	7.0	0.33333325	8.0	0.9
2013-01-14	21.00724633333333	48.0	51.0	0.0145973333333333	29.0	0.034	1.0700828333333334	9.0	6.0	0.4168376666666666	10.0	1.0
2013-01-15	26.518840666666662	47.0	50.0	0.014889	32.0	0.038	4.420893833333333	33.0	23.0	0.4618054999999999	9.0	1.0
2013-01-16	21.175789	45.0	48.0	0.017875	33.0	0.039	1.6496205	16.0	11.0	0.3718433333333333	8.0	1.1
2013-01-17	24.769565333333336	56.0	59.0	0.01475	31.0	0.036	1.783915666666667	10.0	7.0	0.6240338333333333	15.0	3.1
2013-01-18	21.44361	45.0	48.0	0.0209026666666666	36.0	0.042	2.070186333333333	24.0	17.0	0.3823066666666666	14.0	1.2
2013-01-19	19.294203	50.0	53.0	0.021986	36.0	0.042	1.3451388333333334	10.0	7.0	0.380314	11.0	1.5
2013-01-20	17.259420333333335	42.0	45.0	0.0217083333333333	35.0	0.041	1.054546166666667	7.0	5.0	0.3705011666666666	11.0	1.3
2013-01-21	18.805797	45.0	48.0	0.0238193333333333	34.0	0.04	1.7996591666666666	23.0	16.0	0.3544985	9.0	1.1
2013-01-22	19.914492666666664	54.0	57.0	0.0194863333333333	31.0	0.037	2.0481065	20.0	14.0	0.3891606666666666	9.0	1.9
2013-01-23	29.378194999999995	81.0	82.0	0.0127496666666666	32.0	0.038	5.340277666666666	55.0	39.0	0.9942551666666668	50.0	5.8
2013-01-24	18.327009	73.0	75.0	0.0239859999999999	35.0	0.039	2.2008206666666665	16.0	11.0	0.6442935	40.0	3.5
2013-01-25	21.79710133333333	50.0	53.0	0.0120696666666666	26.0	0.031	3.041513333333333	34.0	24.0	0.3467088333333333	9.0	1.3
2013-01-26	19.375684333333336	41.0	43.0	0.0124446666666666	28.0	0.033	1.919737666666667	10.0	7.0	0.4586956666666666	10.0	1.1
2013-01-27	15.514569000000002	39.0	41.0	0.0173333333333333	32.0	0.038	2.0770833333333334	34.0	24.0	0.4089069999999999	8.0	1.1
2013-01-28	15.608695666666668	57.0	60.0	0.023222	32.0	0.038	2.003105666666667	14.0	10.0	0.37968	11.0	1.9
