Date Local	NO2 Mean	NO2 AQI	NO2 1st Max Value	O3 Mean	O3 AQI	O3 1st Max Value	SO2 Mean	SO2 AQI	SO2 1st Max Value	CO Mean	CO AQI	CO 1st Max Value
2013-01-01	12.70047729047619	48.0	51.0	0.020838009523809504	44.0	0.048	1.4205472505952381	17.0	12.0	0.3380176764880952	54.0	5.2
2013-01-02	15.94015752142857	65.0	67.0	0.020815989285714258	45.0	0.049	1.5142412964285712	13.0	9.0	0.3419909717261905	20.0	2.5
2013-01-03	16.87459200357143	56.0	59.5	0.01975108333333332	44.0	0.048	2.1876432273809523	33.0	23.0	0.36177579345238087	26.0	2.7
2013-01-04	22.17386010714286	71.0	73.0	0.01618913333333332	42.0	0.045	3.5332339375000004	66.0	48.0	0.477451988392857	28.0	3.2
2013-01-05	19.100738964285714	52.0	55.9	0.01823024285714282	41.0	0.044	2.0627981005952383	36.0	25.0	0.4332144991071429	28.0	2.9
2013-01-06	16.23767365952381	60.0	62.0	0.021493779761904742	42.0	0.045	1.8731193916666666	17.0	12.0	0.3962407431547619	22.0	2.5
2013-01-07	17.958705084886127	63.0	65.0	0.0185505111801242	44.0	0.047	2.00019209057971	24.0	17.8	0.42861314151138713	23.0	2.9
2013-01-08	19.916912133333334	54.0	57.0	0.01499500833333332	39.0	0.042	1.9241038333333331	20.0	14.2	0.4023594833333333	24.0	3.0
2013-01-09	20.30627719166667	79.0	80.7	0.015694908333333302	40.0	0.043	2.44873035	36.0	25.1	0.48153797291666667	36.0	5.0
2013-01-10	15.886255741666668	65.0	67.0	0.01870414166666666	42.0	0.045	1.7165846666666666	24.0	17.2	0.34981999999999996	43.0	3.8
2013-01-11	15.121844633333334	55.0	58.3	0.017685025	41.0	0.044	1.1357356833333332	9.0	6.9	0.33777086875	16.0	2.12
2013-01-12	10.465941870289853	39.0	41.6	0.02156481775362318	40.0	0.043	0.6388606599637681	11.0	8.9	0.27952464257246373	18.0	3.0
2013-01-13	13.652573498913043	44.0	47.0	0.020007219565217383	41.0	0.044	0.7750342369565217	11.0	8.1	0.33946874891304346	23.0	2.264
2013-01-14	14.21996185688406	50.0	53.8	0.018812243840579702	44.0	0.047	1.0520266894927535	17.0	12.7	0.34364485507246373	16.0	2.03
2013-01-15	15.647420633333331	54.0	57.9	0.018058366666666638	43.0	0.046	1.6982820958333331	33.0	23.0	0.35114481666666664	23.0	3.4
2013-01-16	17.372906275000002	57.0	60.2	0.016368791666666656	44.0	0.048	1.4388547958333333	67.0	49.8	0.3886815145833333	26.0	3.0
2013-01-17	19.073080749999995	69.0	71.2	0.01564433333333332	44.0	0.047	1.7000796624999999	19.0	13.4	0.4733136229166666	26.0	3.5
2013-01-18	17.40974213333333	58.0	61.5	0.01923579166666664	42.0	0.046	1.4236109874999998	24.0	17.0	0.3893639645833333	20.0	2.497
2013-01-19	15.839999689130433	52.0	55.3	0.021497127173913	44.0	0.047	1.3342213878623188	11.0	8.5	0.3525701086956521	22.0	2.2
2013-01-20	13.54485622427536	48.0	51.0	0.023622522101449262	44.0	0.048	1.207110340942029	10.0	7.3	0.3542464545289855	19.0	2.2
2013-01-21	17.105061964130435	76.0	77.1	0.02127370253623186	44.0	0.047	1.7303120501811597	23.0	16.0	0.3584404331521739	22.0	2.3
2013-01-22	16.869957997463768	76.0	77.6	0.020592750362318817	42.0	0.045	1.6757129657608698	24.0	17.0	0.3661089414855072	20.0	2.5
