Date Local	NO2 Mean	NO2 AQI	NO2 1st Max Value	O3 Mean	O3 AQI	O3 1st Max Value	SO2 Mean	SO2 AQI	SO2 1st Max Value	CO Mean	CO AQI	CO 1st Max Value
2013-01-01	15.466666499999999	21.0	22.2	0.023771	27.0	0.029	3.821875	13.0	9.2	0.3693314999999999	7.0	0.7
2013-01-02	17.982143	28.0	30.7	0.0212625	23.0	0.025	4.4232685	13.0	9.0	0.31112499999999993	6.0	0.8
2013-01-03	24.6905795	34.0	36.0	0.0144655	20.0	0.022	5.34375	16.0	11.5	0.3715175	7.0	1.1
2013-01-04	26.63125	37.0	39.3	0.016021	22.0	0.024	5.66875	17.0	12.2	0.42057274999999994	7.0	0.7
2013-01-05	25.416667	42.0	44.1	0.01675	28.0	0.03	5.25773825	14.0	10.5	0.45572900000000005	9.0	1.0
2013-01-06	25.329166999999998	34.0	36.2	0.017	21.0	0.023	5.49791675	17.0	12.0	0.504073	9.0	0.8
2013-01-07	27.35154	49.0	52.3	0.0129305	25.0	0.027	5.92045175	24.0	17.8	0.5107085	9.0	1.2
2013-01-08	36.7604165	44.0	47.1	0.004012	9.0	0.011	6.53125	20.0	14.2	0.508068	10.0	1.0
2013-01-09	42.78125	79.0	80.7	0.0071874999999999994	20.0	0.022	8.65625	36.0	25.1	0.725663	16.0	2.015
2013-01-10	24.3125	40.0	42.9	0.016375	24.0	0.027	4.3395835	14.0	10.9	0.25128125	5.0	0.7
2013-01-11	30.0770835	34.0	36.3	0.008021	20.0	0.022	3.31354175	9.0	6.9	0.35969775	7.0	0.8
2013-01-12	19.322917	32.0	34.4	0.0160835	25.0	0.027	1.7135415	11.0	8.9	0.32795825	7.0	1.2
2013-01-13	29.4375	37.0	39.7	0.0070415	18.0	0.019	1.9260415000000002	7.0	5.0	0.467927	8.0	1.0
2013-01-14	23.5797345	34.0	36.1	0.012	19.0	0.021	2.7370835	11.0	8.4	0.5010625	9.0	1.1
2013-01-15	16.331249999999997	24.0	25.4	0.015875	19.0	0.021	2.3458335	7.0	5.6	0.31283375	6.0	0.5
2013-01-16	23.9125	30.0	32.9	0.004229	15.0	0.016	3.4886805	10.0	7.8	0.4160545	8.0	0.8
2013-01-17	20.716288	26.0	28.6	0.015163	26.0	0.028	4.6572915	19.0	13.4	0.3873335	8.0	0.7
2013-01-18	16.029167	25.0	27.3	0.024292	30.0	0.032	2.81145825	9.0	6.2	0.269021	5.0	0.9
2013-01-19	19.6395835	30.0	32.7	0.021312499999999998	28.0	0.03	3.6260415000000004	9.0	6.4	0.29729174999999997	6.0	0.5
2013-01-20	14.5	25.0	27.2	0.026229000000000002	34.0	0.037	3.4093750000000003	10.0	7.3	0.29334375	6.0	0.5
2013-01-21	22.385416499999998	37.0	39.2	0.0155	22.0	0.024	4.735416750000001	13.0	9.8	0.309927	6.0	0.5
2013-01-22	13.496558	19.0	20.6	0.024104	27.0	0.029	4.106547750000001	10.0	7.2	0.2640942499999999	5.0	0.4
2013-01-23	18.9041665	31.0	33.8	0.017292000000000002	25.0	0.027	6.04662275	16.0	11.8	0.27589600000000003	5.0	0.5
2013-01-24	21.3708335	33.0	35.8	0.0200415	26.0	0.028	6.22291675	14.0	10.7	0.332918	6.0	0.6
2013-01-25	29.919791500000002	49.0	52.5	0.0087915	18.0	0.019	8.340422	31.0	22.1	0.43104175	9.0	0.9
2013-01-26	19.745832999999998	33.0	35.8	0.0220625	30.0	0.032	5.6552085000000005	17.0	12.7	0.41660425	8.0	1.1
2013-01-27	23.016666999999998	40.0	42.6	0.0168125	29.0	0.031	6.583805	21.0	15.0	0.3999272499999999	8.0	0.8
2013-01-28	35.229166500000005	44.0	47.5	0.004	11.0	0.012	6.5166665	27.0	19.5	0.6377815	11.0	1.1
2013-01-29	27.960606	40.0	42.3	0.0033545	7.0	0.008	4.28145825	16.0	11.7	0.7453335000000001	13.0	1.2
2013-01-30	24.6229165	42.0	44.9	0.017833500000000002	32.0	0.035	1.7906250000000001	9.0	6.7	0.4564325	10.0	0.9
2013-01-31	11.085416500000001	18.0	19.8	0.026208500000000003	31.0	0.034	1.61666675	7.0	5.1	0.1660615	5.0	0.4
2013-02-01	15.8847225	26.0	28.0	0.021395499999999998	26.0	0.028	3.23125	10.0	7.0	0.20057274999999997	3.0	0.3
2013-02-02	20.291666499999998	31.0	33.7	0.0137085	21.0	0.023	4.959375	14.0	10.1	0.25186449999999994	3.0	0.4
2013-02-03	25.7375	36.0	38.3	0.013000000000000001	20.0	0.022	5.490625	17.0	12.4	0.3201665	5.0	0.5
2013-02-04	20.0074275	33.0	35.6	0.01975	28.0	0.03	4.18410425	11.0	8.4	0.2682675	5.0	0.4
2013-02-05	26.747916500000002	37.0	39.2	0.009128	12.0	0.014	3.4659225	13.0	9.7	0.34488949999999996	6.0	0.7
2013-02-06	23.622916500000002	34.0	36.6	0.0201875	27.0	0.029	5.41979175	21.0	15.2	0.37987499999999996	7.0	0.8
2013-02-07	24.7375	36.0	38.1	0.0233955	28.0	0.031	2.47395825	9.0	6.2	0.281427	5.0	0.6
2013-02-08	13.797917	21.0	22.6	0.029042	31.0	0.034	1.2270835	6.0	4.6	0.26296875	5.0	0.4
2013-02-09	13.9645835	20.0	21.4	0.030021	35.0	0.038	3.325	10.0	7.8	0.27053125	5.0	0.4
