Date Local	NO2 Mean	NO2 AQI	NO2 1st Max Value	O3 Mean	O3 AQI	O3 1st Max Value	SO2 Mean	SO2 AQI	SO2 1st Max Value	CO Mean	CO AQI	CO 1st Max Value
2013-01-01	3.9083335	8.0	8.4	0.0246665	27.0	0.032	0.72708325	3.0	2.6	0.1877707499999999	2.0	0.207
2013-01-02	6.089582999999999	21.0	22.1	0.030042	30.0	0.035	0.55729175	0.0	0.8	0.18652075	2.0	0.226
2013-01-03	3.718182	8.0	8.9	0.028417	27.0	0.032	0.4829195	0.0	0.7	0.1683335	2.0	0.232
2013-01-04	7.233333	16.0	17.9	0.024875	28.0	0.033	0.3083335	0.0	0.4	0.2247084999999999	3.0	0.35
2013-01-05	5.3	9.0	10.0	0.0305	30.0	0.035	0.4041665	1.0	1.1	0.219604	3.0	0.3
2013-01-06	3.245833	5.0	5.2	0.031667	29.0	0.034	0.3562499999999999	0.0	0.4	0.1580415	2.0	0.2
2013-01-07	4.820833	7.0	7.5	0.026458	29.0	0.034	0.31875	0.0	0.4	0.1807289999999999	2.0	0.202
2013-01-08	6.729167	16.0	17.6	0.022792	25.0	0.029	0.2937499999999999	0.0	0.4	0.201479	2.0	0.289
2013-01-09	6.168182	10.0	11.1	0.020875	23.0	0.027	0.33323	1.0	1.0	0.1609785	2.0	0.239
2013-01-10	6.991667	8.0	9.2	0.018125	20.0	0.024	0.6125	1.0	1.8	0.2003539999999999	2.0	0.239
2013-01-11	4.416667	8.0	8.0	0.012458	23.0	0.027	0.1833334999999999	0.0	0.2	0.190625	2.0	0.227
2013-01-12	1.1875	1.0	1.9	0.033417	30.0	0.035	0.3520835	0.0	0.5	0.17475	2.0	0.2
2013-01-13	1.808333	5.0	5.2	0.027375	29.0	0.034	0.5520835000000001	0.0	0.9	0.179479	2.0	0.2
2013-01-14	2.966667	9.0	10.3	0.024	28.0	0.033	0.33125	0.0	0.4	0.184021	2.0	0.2
2013-01-15	4.3375	12.0	13.4	0.024271	26.0	0.031	0.521875	1.0	1.5	0.19365475	2.0	0.279
2013-01-16	3.717301	16.0	17.9	0.0283335	29.0	0.034	0.38618025	0.0	0.5	0.1645217499999999	2.0	0.304
2013-01-17	4.4329545	15.0	16.0	0.0194165	26.0	0.031	0.356431	0.0	0.5	0.1863512499999999	2.0	0.31
2013-01-18	6.166667	26.0	28.9	0.018625	25.0	0.029	0.3625	0.0	0.6	0.178906	3.0	0.529
2013-01-19	2.9270835	11.0	12.5	0.0282919999999999	30.0	0.035	0.38958325	0.0	0.8	0.1363957499999999	3.0	0.3
2013-01-20	1.4833335	5.0	5.2	0.032896	31.0	0.036	0.4260415000000001	1.0	1.1	0.16014575	2.0	0.2
2013-01-21	2.9083335	12.0	13.8	0.032729	31.0	0.037	0.6854167499999999	4.0	3.0	0.1803644999999999	2.0	0.255
2013-01-22	4.1166665	13.0	14.7	0.027125	30.0	0.035	0.4822917499999999	1.0	1.2	0.1897187499999999	2.0	0.293
2013-01-23	5.008786000000001	15.0	16.2	0.0282915	31.0	0.037	0.653125	1.0	1.4	0.19661475	3.0	0.366
2013-01-24	2.8445075	7.0	7.0	0.026042	27.0	0.032	0.961452	9.0	6.2	0.1802495	2.0	0.215
2013-01-25	3.6416665	10.0	11.8	0.024125	27.0	0.032	0.6156250000000001	1.0	1.1	0.18039575	2.0	0.302
2013-01-26	4.2625	11.0	12.4	0.018646	21.0	0.025	1.38125	7.0	5.9	0.191802	2.0	0.26
2013-01-27	4.947917	8.0	8.5	0.011604	18.0	0.021	0.725	1.0	1.8	0.1999165	2.0	0.27
2013-01-28	5.7450755	12.0	13.4	0.00875	10.0	0.012	0.5239585	4.0	3.7	0.222229	3.0	0.323
2013-01-29	3.263134	6.0	6.3	0.030042	31.0	0.037	0.48854175	1.0	1.4	0.18671875	2.0	0.222
2013-01-30	2.416395	6.0	6.8	0.026479	30.0	0.035	0.48475025	1.0	1.2	0.1824002499999999	2.0	0.2
2013-01-31	2.66875	5.0	5.7	0.02375	22.0	0.026	0.8333332499999999	1.0	1.5	0.1841039999999999	2.0	0.207
2013-02-01	5.890909000000001	20.0	21.1	0.018521	24.0	0.028	0.5105385	0.0	0.9	0.1952304999999999	2.0	0.44
2013-02-02	3.6833335	14.0	15.3	0.0280415	28.0	0.033	0.6125	1.0	1.3	0.17786475	2.0	0.252
2013-02-03	3.55625	21.0	22.6	0.029729	30.0	0.035	0.590625	1.0	1.7	0.184896	2.0	0.258
2013-02-04	2.894697	8.0	8.1	0.028479	29.0	0.034	0.3916665	0.0	0.5	0.1878229999999999	2.0	0.223
2013-02-05	4.5520835	17.0	18.3	0.027333	31.0	0.037	0.5112382499999999	1.0	1.0	0.1790665	2.0	0.328
2013-02-06	6.4175	22.0	23.6	0.019479	25.0	0.029	0.4827382499999999	1.0	1.2	0.20554175	3.0	0.478
2013-02-07	7.016667	12.0	13.7	0.028667	31.0	0.036	0.6708335	1.0	1.6	0.2013125	3.0	0.3
2013-02-08	3.495833	4.0	4.6	0.027667	30.0	0.035	0.4	0.0	0.4	0.1927499999999999	2.0	0.214
2013-02-09	4.9875	8.0	8.3	0.021375	20.0	0.024	0.49375	0.0	0.9	0.2032085	2.0	0.321
2013-02-10	4.354167	6.0	6.7	0.024458	26.0	0.031	0.4020835	0.0	0.5	0.2187294999999999	3.0	0.3
2013-02-11	4.316667	9.0	10.7	0.03275	30.0	0.035	0.4187499999999999	0.0	0.5	0.190979	2.0	0.315
