original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
85210	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-01	Parts per billion	16.470833	22.2	6	21	Parts per million	0.022	0.026	19	22	Parts per billion	5.3979165	9.2	6	13.0	Parts per million	0.5341005	0.7	11	7.0
85214	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-02	Parts per billion	18.65	27.8	8	25	Parts per million	0.020375	0.023	0	19	Parts per billion	5.958442	9.0	20	13.0	Parts per million	0.4270834999999999	0.8	5	6.0
85218	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-03	Parts per billion	24.033333	36.0	19	34	Parts per million	0.014375	0.021	0	18	Parts per billion	6.6625	11.5	21	16.0	Parts per million	0.5000905	1.1	9	7.0
85222	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-04	Parts per billion	28.195833	39.3	7	37	Parts per million	0.014292	0.021	9	18	Parts per billion	7.74375	12.2	4	17.0	Parts per million	0.5791664999999999	0.7	6	7.0
85226	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-05	Parts per billion	24.966667	44.1	20	42	Parts per million	0.015833	0.027	8	23	Parts per billion	6.9833335000000005	10.5	21	14.0	Parts per million	0.64375	1.0	20	9.0
85230	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-06	Parts per billion	27.254167	34.8	6	32	Parts per million	0.014917	0.021	11	18	Parts per billion	6.8895835000000005	12.0	20	17.0	Parts per million	0.7125	0.8	2	9.0
85234	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-07	Parts per billion	26.573913	50.0	23	47	Parts per million	0.012778	0.026	9	22	Parts per billion	7.33882	17.8	6	24.0	Parts per million	0.6770835000000001	1.2	21	9.0
85238	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-08	Parts per billion	39.05	47.1	18	44	Parts per million	0.004167	0.011	9	9	Parts per billion	7.65625	14.2	6	20.0	Parts per million	0.6011774999999999	1.0	8	10.0
85242	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-09	Parts per billion	44.820833	72.7	10	70	Parts per million	0.005167	0.019	22	16	Parts per billion	11.1291665	25.1	7	36.0	Parts per million	0.7520834999999999	1.8	10	15.0
85246	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-10	Parts per billion	22.4625	37.7	21	35	Parts per million	0.015542	0.027	8	23	Parts per billion	5.7520835	10.9	6	14.0	Parts per million	0.26875	0.7	12	5.0
85250	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-11	Parts per billion	30.0875	36.3	6	34	Parts per million	0.004667	0.008	8	7	Parts per billion	3.6645835	6.9	5	9.0	Parts per million	0.4041665	0.8	20	7.0
85254	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-12	Parts per billion	22.479167	31.3	2	29	Parts per million	0.012667	0.02	10	17	Parts per billion	2.6854165	8.9	6	11.0	Parts per million	0.439583	1.2	6	7.0
85258	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-13	Parts per billion	31.2875	39.7	5	37	Parts per million	0.004083	0.01	10	8	Parts per billion	2.4104165	5.0	21	7.0	Parts per million	0.5666665	1.0	23	8.0
85262	36	5	133	200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab	New York	Bronx	New York	2013-01-14	Parts per billion	22.663636	36.1	0	34	Parts per million	0.011417	0.018	12	15	Parts per billion	3.3533335	8.4	6	11.0	Parts per million	0.622917	1.1	0	9.0
