original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
113294	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-01	Parts per billion	5.35	8.4	8	8	Parts per million	0.027833	0.032	9	27	Parts per billion	0.8062499999999999	2.6	3	3.0	Parts per million	0.190104	0.203	10	2.0
113298	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-02	Parts per billion	8.020833	22.1	6	21	Parts per million	0.029667	0.034	10	29	Parts per billion	0.5083335	0.7	11	0.0	Parts per million	0.2	0.2	0	2.0
113300	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-15	Parts per billion	5.654167	13.4	8	12	Parts per million	0.024667	0.029	10	25	Parts per billion	0.5208335	0.8	14	0.0	Parts per million	0.198143	0.275	17	2.0
113304	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-16	Parts per billion	5.404167	17.9	8	16	Parts per million	0.02825	0.034	18	29	Parts per billion	0.45	0.5	0	0.0	Parts per million	0.1862499999999999	0.304	8	2.0
113308	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-17	Parts per billion	6.490909	16.0	8	15	Parts per million	0.020458	0.03	0	25	Parts per billion	0.4086955	0.5	4	0.0	Parts per million	0.2033479999999999	0.31	8	2.0
113312	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-18	Parts per billion	9.191667	28.9	18	26	Parts per million	0.018833	0.026	9	22	Parts per billion	0.4479165	0.6	19	0.0	Parts per million	0.219354	0.529	19	3.0
113316	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-19	Parts per billion	3.916667	12.5	4	11	Parts per million	0.029667	0.035	21	30	Parts per billion	0.4979165	0.8	10	0.0	Parts per million	0.1553125	0.3	0	3.0
113320	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-20	Parts per billion	2.379167	5.2	21	5	Parts per million	0.032042	0.033	0	28	Parts per billion	0.5604165000000001	1.1	22	1.0	Parts per million	0.156208	0.2	9	2.0
113324	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-21	Parts per billion	5.05	13.8	21	12	Parts per million	0.030708	0.034	7	29	Parts per billion	0.9270835	3.0	3	4.0	Parts per million	0.18225	0.255	17	2.0
113328	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-22	Parts per billion	6.275	14.7	8	13	Parts per million	0.027167	0.033	9	28	Parts per billion	0.5645835	1.2	22	1.0	Parts per million	0.1965624999999999	0.293	8	2.0
113332	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-23	Parts per billion	7.021739	16.2	5	15	Parts per million	0.02875	0.037	14	31	Parts per billion	0.73125	1.4	11	1.0	Parts per million	0.2103335	0.366	4	3.0
113336	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-24	Parts per billion	2.720833	5.0	7	5	Parts per million	0.027667	0.032	0	27	Parts per billion	0.4875	1.0	21	1.0	Parts per million	0.1765205	0.215	7	2.0
113340	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-25	Parts per billion	5.120833	11.8	7	10	Parts per million	0.025458	0.032	11	27	Parts per billion	0.6854165000000001	1.1	15	1.0	Parts per million	0.198104	0.302	7	2.0
113344	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-26	Parts per billion	3.541667	6.7	17	6	Parts per million	0.021875	0.025	8	21	Parts per billion	0.68125	1.2	19	1.0	Parts per million	0.1944165	0.26	17	2.0
113348	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-27	Parts per billion	4.441667	8.5	22	8	Parts per million	0.013875	0.021	0	18	Parts per billion	0.5708335	1.3	0	1.0	Parts per million	0.2045415	0.27	18	2.0
113352	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-28	Parts per billion	7.181818	13.4	3	12	Parts per million	0.009292	0.012	23	10	Parts per billion	0.4020835	0.5	13	0.0	Parts per million	0.2462705	0.323	4	3.0
113356	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-29	Parts per billion	4.130435	6.3	1	6	Parts per million	0.031792	0.037	10	31	Parts per billion	0.55	1.4	13	1.0	Parts per million	0.191875	0.222	0	2.0
113360	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-30	Parts per billion	3.386957	6.8	21	6	Parts per million	0.026833	0.035	0	30	Parts per billion	0.596584	1.2	13	1.0	Parts per million	0.180634	0.2	16	2.0
113364	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-01-31	Parts per billion	3.808333	5.7	7	5	Parts per million	0.024458	0.026	8	22	Parts per billion	0.8604165	1.5	9	1.0	Parts per million	0.182979	0.207	14	2.0
113368	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-02-01	Parts per billion	9.05	21.1	19	20	Parts per million	0.018292	0.028	23	24	Parts per billion	0.6145835000000001	0.9	19	0.0	Parts per million	0.206896	0.44	19	2.0
113372	46	99	8	2001 E 8th St	South Dakota	Minnehaha	Sioux Falls	2013-02-02	Parts per billion	5.65	15.3	17	14	Parts per million	0.029125	0.033	18	28	Parts per billion	0.8083335	1.3	22	1.0	Parts per million	0.1953335	0.252	17	2.0
