original row-2	State Code	County Code	Site Num	Address	State	County	City	Date Local	NO2 Units	NO2 Mean	NO2 1st Max Value	NO2 1st Max Hour	NO2 AQI	O3 Units	O3 Mean	O3 1st Max Value	O3 1st Max Hour	O3 AQI	SO2 Units	SO2 Mean	SO2 1st Max Value	SO2 1st Max Hour	SO2 AQI	CO Units	CO Mean	CO 1st Max Value	CO 1st Max Hour	CO AQI
19568	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-01	Parts per billion	16.521739	40.0	1	38	Parts per million	0.018542	0.033	10	31	Parts per billion	0.5397514999999999	2.0	9	3.0	Parts per million	1.869686	5.2	1	54.0
19572	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-02	Parts per billion	13.565217	37.0	18	35	Parts per million	0.02175	0.038	8	35	Parts per billion	0.172671	1.0	18	1.0	Parts per million	0.5798915	2.1	21	11.0
19576	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-03	Parts per billion	14.434783	30.0	18	28	Parts per million	0.02025	0.038	9	35	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.558605	1.0	7	11.0
19580	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-04	Parts per billion	19.652174	41.0	18	39	Parts per million	0.016	0.038	9	35	Parts per billion	0.309317	1.0	7	1.0	Parts per million	0.799185	2.3	20	15.0
19584	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-05	Parts per billion	19.956522	42.0	18	40	Parts per million	0.016	0.039	9	36	Parts per billion	0.273292	1.0	18	1.0	Parts per million	0.8557065	2.0	20	16.0
19588	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-06	Parts per billion	12.043478	48.0	8	45	Parts per million	0.028667	0.042	12	39	Parts per billion	0.295031	2.0	8	3.0	Parts per million	0.8531705	2.5	8	17.0
19592	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-07	Parts per billion	8.565217	32.0	17	30	Parts per million	0.027792	0.039	8	36	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4532609999999999	0.7	17	6.0
19596	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-08	Parts per billion	18.826087	42.0	20	40	Parts per million	0.017083	0.038	9	35	Parts per billion	0.2158385	1.0	8	1.0	Parts per million	0.729348	1.9	20	15.0
19600	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-09	Parts per billion	26.608696	50.0	9	47	Parts per million	0.011583	0.031	9	29	Parts per billion	0.9493785	3.0	21	4.0	Parts per million	1.5847825000000002	5.0	21	36.0
19604	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-10	Parts per billion	12.130435	36.0	0	34	Parts per million	0.0275	0.038	12	35	Parts per billion	0.4027949999999999	2.0	0	3.0	Parts per million	1.0432065	3.8	0	43.0
19608	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-11	Parts per billion	8.217391	28.0	17	26	Parts per million	0.026833	0.037	8	34	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4703805	0.7	17	7.0
19612	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-12	Parts per billion	13.043478	37.0	21	35	Parts per million	0.02075	0.041	9	38	Parts per billion	0.2158385	1.0	14	1.0	Parts per million	0.6634055	3.0	21	15.0
19616	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-13	Parts per billion	10.565217	29.0	1	27	Parts per million	0.025167	0.039	9	36	Parts per billion	0.0431675	1.0	19	1.0	Parts per million	0.725815	1.9	1	19.0
19620	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-14	Parts per billion	6.391304	22.0	6	21	Parts per million	0.028417	0.039	8	36	Parts per billion	0.0	0.0	0	0.0	Parts per million	0.4192935	0.6	6	6.0
19624	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-15	Parts per billion	17.0	42.0	19	40	Parts per million	0.020042	0.038	9	35	Parts per billion	0.467702	2.0	7	3.0	Parts per million	0.7663949999999999	2.0	7	13.0
19628	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-16	Parts per billion	16.130435	38.0	18	36	Parts per million	0.017667	0.037	9	34	Parts per billion	0.172671	1.0	8	1.0	Parts per million	0.6294379999999999	1.3	7	10.0
19632	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-17	Parts per billion	16.347826	40.0	18	38	Parts per million	0.017333	0.036	9	33	Parts per billion	0.172671	1.0	7	1.0	Parts per million	0.665942	1.7	19	10.0
19636	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-18	Parts per billion	19.217391	44.0	18	42	Parts per million	0.018042	0.037	9	34	Parts per billion	0.2661495	1.0	7	1.0	Parts per million	0.7067935000000001	2.4	18	13.0
19640	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-19	Parts per billion	16.652174	38.0	18	36	Parts per million	0.0205	0.04	9	37	Parts per billion	0.2229809999999999	1.0	18	1.0	Parts per million	0.651449	1.4	19	13.0
19644	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-20	Parts per billion	12.478261	39.0	18	37	Parts per million	0.022917	0.039	9	36	Parts per billion	0.1798135	1.0	18	1.0	Parts per million	0.597645	1.6	20	13.0
19648	6	25	5	1029 ETHEL ST, CALEXICO HIGH SCHOOL	California	Imperial	Calexico	2013-01-21	Parts per billion	16.782609	42.0	18	40	Parts per million	0.018	0.038	9	35	Parts per billion	0.309317	1.0	16	1.0	Parts per million	0.7003619999999999	2.0	21	14.0
