Date Local	NO2 Mean	NO2 AQI	NO2 1st Max Value	O3 Mean	O3 AQI	O3 1st Max Value	SO2 Mean	SO2 AQI	SO2 1st Max Value	CO Mean	CO AQI	CO 1st Max Value
2013-01-01	12.226087	24	25.1	0.02075	27	0.032	0.808442	1.0	1.5	0.3849035	7.0	1.0
2013-01-02	15.769565	26	28.5	0.017208	26	0.031	0.9227275	1.0	1.5	0.4019925	6.0	0.6
2013-01-03	22.773913	30	32.4	0.009417	17	0.02	1.2022725	4.0	3.1	0.5405795	7.0	0.8
2013-01-04	18.508696	26	28.0	0.012333	23	0.027	1.3366885	6.0	4.1	0.465761	7.0	0.7
2013-01-05	19.782609	27	29.9	0.008542	19	0.023	0.7717535	1.0	1.7	0.631703	9.0	1.1
2013-01-06	11.513043	30	32.3	0.015167	24	0.028	0.3623375	0.0	0.9	0.4539855	9.0	1.2
2013-01-07	18.065217	26	28.3	0.004667	10	0.012	0.774026	1.0	1.5	0.7189315	10.0	1.4
2013-01-08	18.252174	25	27.7	0.0075	16	0.019	1.4016235	6.0	4.1	0.533605	9.0	0.8
2013-01-09	14.330435	25	27.1	0.022	31	0.037	0.8272725000000001	3.0	2.5	0.469475	9.0	1.5
2013-01-10	6.782609	30	32.2	0.030375	30	0.035	0.218182	0.0	0.5	0.2362315	3.0	0.6
2013-01-11	11.786957	32	34.4	0.020583	26	0.031	0.4412339999999999	1.0	1.6	0.3262684999999999	6.0	0.9
2013-01-12	13.943478	29	31.8	0.016292	25	0.03	0.9435065	3.0	2.0	0.4209239999999999	7.0	0.7
2013-01-13	13.647826	30	32.9	0.021875	25	0.029	1.064935	4.0	3.6	0.384873	6.0	0.8
2013-01-14	15.16087	34	36.4	0.017792	29	0.034	0.741558	3.0	2.0	0.398188	7.0	0.9
2013-01-15	22.391304	39	41.9	0.011292	25	0.029	1.3048705	3.0	2.9	0.5490035	8.0	1.2
2013-01-16	24.878261	42	44.6	0.012292	23	0.027	1.367208	3.0	2.3	0.6146739999999999	10.0	1.4
2013-01-17	29.8	37	39.1	0.008333	12	0.014	1.7885415	3.0	2.6	0.4296075	7.0	0.7
2013-01-18	20.895652	38	40.5	0.017583	29	0.034	1.387987	4.0	3.4	0.3574275	6.0	0.7
2013-01-19	16.073913	27	29.3	0.018375	27	0.032	1.399675	6.0	4.2	0.314674	5.0	0.4
2013-01-20	16.565217	32	34.6	0.017458	29	0.034	1.0594155	3.0	2.3	0.326087	6.0	0.8
2013-01-21	16.430435	28	30.3	0.022875	29	0.034	1.342857	4.0	3.3	0.365489	7.0	0.6
2013-01-22	16.478261	24	25.9	0.016875	21	0.025	0.964935	3.0	2.3	0.4108695	6.0	0.8
2013-01-23	25.308696	36	38.8	0.006833	14	0.017	0.867208	1.0	1.8	0.678714	10.0	1.7
2013-01-24	13.213043	21	22.6	0.011667	19	0.022	0.7696970000000001	1.0	1.3	0.401902	6.0	0.7
2013-01-25	11.573913	18	19.9	0.008542	17	0.02	0.476299	0.0	0.9	0.449185	6.0	0.7
2013-01-26	8.0	24	25.1	0.028958	33	0.039	0.399351	1.0	1.1	0.3865944999999999	7.0	0.7
2013-01-27	3.076923	11	12.4	0.029958	29	0.034	0.150974	0.0	0.2	0.2936595	5.0	0.5
2013-01-28	6.375	25	27.2	0.028292	28	0.033	0.2113634999999999	0.0	0.4	0.359239	6.0	1.0
2013-01-29	14.982609	29	31.0	0.015875	26	0.031	0.4717535	3.0	2.1	0.596105	11.0	2.2
2013-01-30	18.6	31	33.1	0.006542	12	0.014	0.6136365	1.0	1.3	0.5850545	8.0	1.2
2013-01-31	19.134783	32	34.0	0.011875	24	0.028	1.181061	3.0	2.5	0.5233695	7.0	0.9
2013-02-01	19.165217	34	36.7	0.015542	25	0.03	1.0623375	3.0	2.6	0.5193840000000001	8.0	1.1
2013-02-02	11.73913	22	23.6	0.017708	21	0.025	0.5181819999999999	1.0	1.4	0.4614129999999999	8.0	0.7
2013-02-03	16.869565	27	29.7	0.016083	30	0.035	0.643831	1.0	1.4	0.5789855	8.0	1.1
2013-02-04	14.382609	25	27.8	0.014792	24	0.028	0.5272725	1.0	1.1	0.413949	9.0	0.8
2013-02-05	6.530435	16	17.8	0.027458	30	0.035	0.3948055	1.0	1.0	0.2171195	3.0	0.3
2013-02-06	11.504348	25	27.0	0.021917	30	0.035	0.5272725	1.0	1.7	0.325362	6.0	1.0
2013-02-07	14.265217	28	30.5	0.026375	34	0.04	0.578788	3.0	2.2	0.3190215	5.0	0.5
2013-02-08	10.386957	23	24.6	0.021583	27	0.032	0.4948055	1.0	1.0	0.342663	5.0	0.7
2013-02-09	13.604348	31	33.2	0.016417	31	0.036	0.487987	1.0	1.3	0.408877	7.0	0.8
2013-02-10	16.234783	28	30.4	0.013292	20	0.024	0.806818	1.0	1.9	0.474275	8.0	0.8
2013-02-11	13.413043	25	26.5	0.019167	31	0.036	0.6230519999999999	3.0	2.1	0.427355	7.0	0.8
2013-02-12	17.365217	30	32.9	0.013917	25	0.029	1.0022725	4.0	3.2	0.45779	7.0	0.8
2013-02-13	15.495652	22	23.7	0.014375	18	0.021	0.738961	3.0	2.1	0.4740035	7.0	1.0
2013-02-14	17.743478	36	38.7	0.012125	18	0.021	0.9795455	3.0	2.3	0.5321555	8.0	1.2
2013-02-15	14.886957	34	36.5	0.0235	33	0.039	1.3272725	3.0	2.4	0.368025	7.0	0.7
2013-02-16	14.93913	27	29.6	0.022708	33	0.039	0.937013	3.0	2.3	0.3826085	7.0	0.6
2013-02-17	11.604348	22	23.4	0.022083	25	0.029	0.5181819999999999	1.0	1.1	0.3658515	5.0	0.6
2013-02-18	6.173913	25	26.7	0.036458	36	0.043	0.325325	1.0	1.1	0.274185	5.0	0.5
2013-02-19	4.2	8	8.8	0.037417	34	0.04	0.243831	0.0	0.5	0.2468294999999999	3.0	0.3
2013-02-20	6.191304	16	17.8	0.025958	28	0.033	0.167208	0.0	0.3	0.3042575	5.0	0.6
2013-02-21	12.682609	25	27.8	0.019625	30	0.035	0.4098484999999999	1.0	1.1	0.4173915	6.0	0.7
2013-02-22	14.843478	31	33.6	0.024	32	0.038	0.5532465000000001	1.0	1.7	0.559239	8.0	1.1
2013-02-23	2.765217	6	6.4	0.035458	32	0.038	0.199675	0.0	0.4	0.346739	5.0	0.4
2013-02-24	6.226087	14	15.3	0.030958	35	0.041	0.2204545	0.0	0.8	0.3619565	6.0	0.5
2013-02-25	17.521739	33	35.8	0.016833	25	0.029	0.483442	1.0	1.0	0.563949	8.0	1.3
2013-02-26	16.213043	32	34.5	0.017708	31	0.037	0.367208	0.0	0.7	0.5403985	8.0	1.1
2013-02-27	15.091304	23	24.9	0.019167	27	0.032	0.7626625	1.0	1.8	0.5825184999999999	8.0	1.2
2013-02-28	18.052174	25	27.8	0.014095	19	0.023	0.4174245	1.0	1.1	0.5660324999999999	7.0	0.8
2013-03-01	13.668421	31	33.4	0.013789	22	0.026	1.1010525	3.0	2.9	0.575987	7.0	1.1
2013-03-02	12.830435	17	18.9	0.015375	22	0.026	0.6905845	3.0	2.0	0.5783514999999999	8.0	0.7
2013-03-03	6.021739	14	15.5	0.029708	28	0.033	0.250649	0.0	0.6	0.4766304999999999	6.0	0.6
2013-03-04	6.834783	16	17.0	0.026333	28	0.033	0.1532465	0.0	0.3	0.3505435	6.0	0.6
2013-03-05	9.490476	22	23.8	0.035833	35	0.041	0.4690475	1.0	1.1	0.2367425	3.0	0.5
2013-03-06	7.83913	30	32.4	0.030042	35	0.041	0.2344155	0.0	0.4	0.2259054999999999	3.0	0.7
2013-03-07	11.295652	21	22.4	0.021458	26	0.031	0.9363635	1.0	1.9	0.333605	6.0	0.8
2013-03-08	4.508696	12	13.6	0.029375	31	0.036	0.3857145	0.0	0.6	0.2065215	2.0	0.4
2013-03-09	10.647826	25	26.9	0.0165	26	0.031	0.5717535	1.0	1.1	0.3174814999999999	6.0	0.7
2013-03-10	10.521739	13	14.7	0.019042	25	0.029	0.7441559999999999	3.0	2.4	0.3613225	6.0	0.5
2013-03-11	11.2	23	24.9	0.019833	23	0.027	1.1227275	4.0	3.2	0.352989	6.0	0.8
2013-03-12	13.840909	23	24.6	0.017583	19	0.023	0.738095	1.0	1.7	0.3109845	5.0	0.7
2013-03-13	16.117647	25	27.0	0.018	35	0.041	0.6	1.0	1.4	0.3731089999999999	6.0	0.8
2013-03-14	11.595652	18	19.3	0.015917	18	0.021	0.0765155	0.0	0.4	0.3677534999999999	5.0	0.5
2013-03-15	15.273913	31	33.6	0.015333	17	0.02	0.4785715	1.0	1.8	0.4358694999999999	7.0	1.0
2013-03-16	7.234783	12	13.7	0.028375	32	0.038	0.0464285	0.0	0.6	0.314674	5.0	0.4
2013-03-17	7.621739	20	21.7	0.029	34	0.04	0.1207795	1.0	1.1	0.3192935	5.0	0.7
2013-03-18	16.93913	32	34.9	0.021333	24	0.028	0.6	6.0	4.1	0.4872285	9.0	1.2
2013-03-19	16.754545	34	36.9	0.022042	26	0.031	0.4988095	3.0	2.3	0.4892045	8.0	1.1
2013-03-20	12.795652	37	39.4	0.025792	30	0.035	0.4905845	1.0	1.4	0.4615035	7.0	0.8
2013-03-21	6.76087	21	22.9	0.030042	31	0.037	0.131818	1.0	1.2	0.3408515	5.0	0.6
2013-03-22	6.130435	16	17.6	0.031625	38	0.045	0.1743509999999999	0.0	0.4	0.389312	6.0	0.5
2013-03-23	7.982609	15	16.5	0.03325	40	0.047	0.386039	3.0	2.5	0.4125	6.0	0.6
2013-03-24	8.765217	23	24.3	0.032583	34	0.04	0.1788965	0.0	0.7	0.468025	7.0	0.9
2013-03-25	5.86087	22	23.4	0.038333	36	0.042	0.048701	0.0	0.5	0.284692	5.0	0.6
2013-03-26	9.565217	26	28.2	0.031583	31	0.037	0.2811689999999999	3.0	2.4	0.2255435	3.0	0.4
2013-03-27	9.091304	25	26.4	0.029375	30	0.035	0.2853895	1.0	1.0	0.2447464999999999	3.0	0.5
2013-03-28	9.13913	15	16.9	0.02425	29	0.034	0.6000000000000001	1.0	1.6	0.2298915	3.0	0.3
2013-03-29	9.109091	20	21.8	0.024958	29	0.034	0.4321429999999999	1.0	1.7	0.2304925	3.0	0.3
2013-03-30	4.069565	10	11.3	0.026	24	0.028	0.2090909999999999	1.0	1.0	0.2043479999999999	2.0	0.3
2013-03-31	6.530435	11	12.8	0.02825	30	0.035	0.2717535	0.0	0.8	0.231975	3.0	0.3
2013-04-01	8.530435	19	20.8	0.024375	33	0.039	0.2162339999999999	1.0	1.3	0.2660325	5.0	0.5
2013-04-02	11.734783	21	22.5	0.020833	25	0.029	0.3551944999999999	1.0	1.3	0.3571555	7.0	1.3
2013-04-03	8.6	18	19.4	0.025375	27	0.032	0.2788965	3.0	2.7	0.2424815	3.0	0.3
2013-04-04	7.204348	18	19.8	0.028542	29	0.034	0.2848485	1.0	1.4	0.2425725	3.0	0.4
2013-04-05	5.06087	9	10.7	0.029333	28	0.033	0.4116884999999999	1.0	1.6	0.2212859999999999	3.0	0.3
2013-04-06	5.165217	9	10.3	0.031667	31	0.036	0.0	0.0	0.0	0.257337	3.0	0.4
2013-04-07	2.1	3	3.6	0.040083	37	0.044	0.2025974999999999	1.0	1.1	0.2255435	3.0	0.4
2013-04-08	2.578261	8	9.4	0.038167	36	0.042	0.0	0.0	0.0	0.2043479999999999	2.0	0.3
